Date;week;0:15:0;0:30:0;0:45:0;1:0:0;1:15:0;1:30:0;1:45:0;2:0:0;2:15:0;2:30:0;2:45:0;3:0:0;3:15:0;3:30:0;3:45:0;4:0:0;4:15:0;4:30:0;4:45:0;5:0:0;5:15:0;5:30:0;5:45:0;6:0:0;6:15:0;6:30:0;6:45:0;7:0:0;7:15:0;7:30:0;7:45:0;8:0:0;8:15:0;8:30:0;8:45:0;9:0:0;9:15:0;9:30:0;9:45:0;10:0:0;10:15:0;10:30:0;10:45:0;11:0:0;11:15:0;11:30:0;11:45:0;12:0:0;12:15:0;12:30:0;12:45:0;13:0:0;13:15:0;13:30:0;13:45:0;14:0:0;14:15:0;14:30:0;14:45:0;15:0:0;15:15:0;15:30:0;15:45:0;16:0:0;16:15:0;16:30:0;16:45:0;17:0:0;17:15:0;17:30:0;17:45:0;18:0:0;18:15:0;18:30:0;18:45:0;19:0:0;19:15:0;19:30:0;19:45:0;20:0:0;20:15:0;20:30:0;20:45:0;21:0:0;21:15:0;21:30:0;21:45:0;22:0:0;22:15:0;22:30:0;22:45:0;23:0:0;23:15:0;23:30:0;23:45:0;0:0:0
2018-1-11;1;41.184;41.808;41.808;41.808;41.496;40.872;41.496;42.12;41.184;40.872;41.496;41.184;41.496;41.184;40.872;41.184;41.496;40.872;41.184;41.496;40.872;41.184;40.872;41.808;41.496;41.808;44.616;45.24;46.176;48.048;47.112;50.232;52.728;53.352;53.352;52.104;52.728;52.104;53.352;53.352;53.04;52.728;53.352;52.728;52.728;49.296;47.424;48.984;48.36;47.424;48.984;52.104;50.856;50.232;51.48;52.104;49.92;50.544;52.416;51.168;52.728;59.28;59.28;61.776;58.656;59.28;58.656;58.968;55.536;53.04;52.104;51.168;51.48;50.544;49.296;49.608;49.608;49.608;48.048;47.424;46.176;46.488;45.24;42.744;42.744;43.368;43.056;43.368;42.432;43.056;41.808;41.184;41.184;41.496;41.496;41.184
2018-1-12;1;41.808;41.184;41.184;41.496;41.496;41.184;41.808;41.184;41.184;41.496;41.496;40.872;41.184;40.56;41.808;41.496;41.496;40.56;41.496;40.56;43.368;43.056;43.056;44.304;44.304;44.928;45.24;44.616;45.24;46.8;48.672;46.488;50.544;48.984;48.984;53.04;51.48;51.48;49.92;50.544;50.232;50.856;49.608;49.92;48.672;47.736;48.048;47.424;48.048;46.488;48.672;48.984;48.984;51.168;47.736;48.36;48.672;48.048;49.608;48.984;48.048;48.048;47.736;53.976;53.664;54.288;52.416;51.48;51.168;48.36;48.048;48.672;49.296;46.488;45.552;44.304;45.864;45.552;46.176;42.744;43.368;42.744;43.056;42.432;43.992;43.056;42.744;42.12;42.744;42.432;42.12;41.496;41.184;40.56;40.248;41.184
2018-1-13;0;40.872;42.12;40.248;40.872;40.56;40.872;41.184;41.184;40.56;40.872;40.56;40.56;40.872;40.248;40.872;40.56;41.184;40.872;40.56;40.248;40.56;40.248;40.56;40.56;39.624;40.56;39.936;37.752;38.064;37.752;38.376;38.376;37.752;38.064;38.376;38.064;38.064;38.064;37.128;38.688;38.064;37.752;38.064;38.376;38.376;38.064;38.064;38.376;38.064;38.376;39.0;38.688;38.064;38.064;40.56;39.624;39.312;38.688;38.376;38.688;39.0;38.688;38.376;38.688;38.064;39.936;40.56;41.184;41.496;40.872;41.184;41.808;40.872;42.12;42.432;41.808;41.184;41.184;40.872;40.872;41.184;42.12;40.872;41.184;40.872;41.184;40.56;41.184;40.872;40.872;40.872;40.56;40.56;40.56;40.872;40.248
2018-1-14;0;40.872;41.184;40.248;40.872;40.872;39.936;40.872;40.872;40.56;40.872;40.872;40.872;40.56;40.56;40.872;40.56;39.936;40.872;39.936;40.56;39.936;39.936;40.248;39.624;39.624;39.936;39.312;39.936;40.248;39.312;38.688;39.312;39.624;38.688;38.376;38.064;38.376;37.752;38.064;37.752;38.376;38.376;38.688;37.752;38.064;38.064;38.064;38.376;38.688;38.688;39.0;38.688;39.0;39.0;38.688;38.688;39.312;39.312;39.312;39.312;39.624;39.624;38.688;38.064;40.872;42.12;41.808;41.808;42.12;42.744;41.496;42.12;42.12;42.12;42.432;42.12;41.184;40.56;40.56;40.56;41.184;40.248;39.624;40.248;41.496;40.872;40.56;40.872;40.248;40.248;40.872;40.248;39.936;40.56;40.248;40.56
2018-1-15;1;40.56;40.872;40.56;40.248;40.248;40.56;40.872;40.56;40.56;40.248;39.936;40.248;40.248;40.248;40.248;40.56;40.248;41.184;41.184;39.936;40.56;41.184;40.248;41.496;42.12;42.432;44.304;43.992;45.864;48.048;46.488;52.104;53.352;52.104;55.224;55.224;53.664;51.792;53.664;51.168;52.104;51.792;50.544;50.544;50.544;48.984;46.8;50.544;47.424;48.36;49.296;48.984;48.672;48.048;48.048;47.736;48.36;47.112;47.424;46.8;46.176;46.488;48.36;47.736;50.544;51.48;53.352;51.48;53.04;50.856;51.48;48.048;48.36;48.36;49.92;47.736;48.672;46.8;46.488;47.424;47.736;47.736;45.552;45.24;41.184;41.184;41.808;40.872;41.184;40.872;40.872;40.56;42.12;41.184;42.12;41.184
2018-1-16;1;41.808;41.496;41.184;41.184;41.184;40.872;41.496;41.496;41.184;42.12;40.872;41.496;41.496;40.872;41.184;41.496;41.184;42.432;41.184;40.872;40.872;40.872;40.248;39.936;40.248;42.744;41.496;44.304;47.112;46.8;48.672;52.416;51.792;50.544;51.48;49.608;51.168;51.48;53.664;52.416;51.48;50.856;52.416;50.544;49.608;48.672;48.36;47.736;46.176;46.488;45.552;47.736;46.488;47.424;47.424;46.488;49.608;47.112;49.92;50.856;50.544;50.232;51.792;53.04;52.104;52.104;52.416;52.416;50.856;48.048;48.36;48.048;46.176;47.112;46.176;45.552;46.176;45.552;45.24;43.368;43.368;42.12;41.184;40.56;40.872;40.872;40.56;40.56;41.496;39.936;39.936;40.56;40.248;40.56;40.248;40.56
2018-1-17;1;40.248;40.248;40.248;40.56;40.56;39.624;40.56;39.624;41.184;40.56;39.936;39.624;40.56;40.248;40.872;39.936;39.936;40.248;39.936;39.936;40.248;40.248;39.312;40.248;40.872;41.808;42.744;42.432;45.24;46.176;48.984;49.608;53.352;53.352;54.6;54.6;53.352;54.288;48.36;47.112;48.984;48.672;47.736;48.984;47.736;47.736;45.24;48.672;48.048;44.928;48.048;48.36;50.544;49.296;50.232;48.672;49.296;48.984;48.984;49.296;49.296;51.168;50.232;53.664;53.664;52.728;53.04;51.168;50.544;48.672;48.36;47.736;47.736;48.984;47.736;47.736;46.488;45.552;45.552;45.552;45.24;43.056;40.872;41.496;40.872;41.184;40.872;40.248;40.872;40.56;40.872;40.248;40.56;40.56;40.248;40.56
2018-1-18;1;41.184;41.184;40.248;41.184;40.872;40.248;39.936;39.936;40.872;40.872;40.56;40.56;39.936;40.56;39.936;40.872;40.56;39.936;40.248;40.872;40.56;40.872;39.936;40.248;40.56;40.56;40.872;43.368;44.928;47.736;47.736;51.168;50.856;49.92;49.608;50.544;51.792;48.984;49.92;51.168;48.984;47.736;52.416;49.92;49.608;47.736;48.048;50.544;48.048;48.048;48.048;47.736;48.36;48.984;50.856;51.168;48.36;47.424;49.296;51.48;52.416;52.416;54.912;54.912;53.352;53.04;54.912;52.728;52.728;49.92;48.36;48.36;48.672;49.296;46.488;47.736;46.488;46.488;46.8;45.864;46.176;46.176;46.176;45.864;44.928;44.928;41.184;41.184;40.872;40.248;40.56;41.184;40.56;41.184;41.808;40.872
2018-1-19;1;41.184;41.184;40.56;41.184;41.496;40.872;40.248;40.248;41.184;41.184;40.56;40.56;40.56;40.872;40.56;41.184;40.872;40.56;40.56;40.56;40.248;40.56;41.184;40.872;40.872;41.808;42.432;43.368;45.552;45.552;49.608;49.296;51.168;51.168;51.168;52.104;50.544;49.92;50.544;50.232;48.672;48.672;49.296;48.36;48.36;48.048;47.424;47.736;47.736;48.048;47.424;47.736;47.112;46.488;46.8;46.8;48.36;46.488;46.488;46.176;45.864;45.24;45.24;50.544;51.792;49.608;49.92;49.92;50.232;47.424;48.048;47.736;47.112;48.048;46.488;45.552;44.616;45.552;44.928;45.552;44.616;44.616;43.992;44.616;42.12;41.184;40.872;40.872;40.56;41.808;40.56;41.496;40.872;40.872;40.872;40.872
2018-1-20;0;40.56;40.872;40.56;40.872;40.248;40.872;40.56;40.56;40.56;40.872;40.248;40.248;41.184;40.248;40.872;40.56;41.184;41.184;40.56;40.248;40.872;40.56;40.248;40.872;40.248;40.248;39.936;40.56;40.56;38.376;38.064;37.44;37.752;37.44;37.752;38.064;37.44;37.44;38.064;37.44;37.44;38.376;37.128;37.44;37.752;37.128;37.44;38.064;37.752;37.752;37.752;38.688;38.688;38.064;38.064;37.44;38.064;38.376;38.376;38.064;38.064;38.064;38.376;37.752;38.376;40.248;40.56;40.872;40.56;40.248;41.184;41.184;42.12;40.872;40.872;40.872;40.872;40.56;40.872;40.872;40.872;40.248;40.872;40.56;40.56;40.872;40.872;40.872;40.248;40.872;40.872;40.872;40.872;40.56;40.872;40.56
